출하일자,품종대분류,품종소분류,신고소,출하량
2022-12-03,만감류,레드향,한림항,0
2022-12-03,만감류,레드향,애월항,0
2022-12-03,만감류,레드향,성산항,1.47
2022-12-03,만감류,한라봉,제주공항,0
2022-12-03,만감류,한라봉,제주항,8.19
2022-12-03,만감류,한라봉,서귀포항,0
2022-12-03,만감류,한라봉,한림항,0
2022-12-03,만감류,한라봉,애월항,0
2022-12-03,만감류,한라봉,성산항,8.69
2022-12-04,감귤류,노지온주,제주공항,20.07
2022-12-04,감귤류,노지온주,제주항,"1,936.97"
2022-12-04,감귤류,노지온주,서귀포항,0
2022-12-04,감귤류,노지온주,한림항,48.12
2022-12-04,감귤류,노지온주,애월항,0
2022-12-04,감귤류,노지온주,성산항,387.61
2022-12-04,만감류,레드향,제주공항,0.09
2022-12-04,만감류,레드향,제주항,6.08
2022-12-04,만감류,레드향,서귀포항,0
2022-12-04,만감류,레드향,한림항,0
2022-12-04,만감류,레드향,애월항,0
2022-12-04,만감류,레드향,성산항,0.75
2022-12-04,만감류,천혜향,제주공항,0
2022-12-04,만감류,천혜향,제주항,0
2022-12-04,만감류,천혜향,서귀포항,0
2022-12-04,만감류,천혜향,한림항,0
2022-12-04,만감류,천혜향,애월항,0
2022-12-04,만감류,천혜향,성산항,0
2022-12-04,만감류,한라봉,제주공항,0.82
2022-12-04,만감류,한라봉,제주항,19.1
2022-12-04,만감류,한라봉,서귀포항,0
2022-12-04,만감류,한라봉,한림항,0
2022-12-04,만감류,한라봉,애월항,0
2022-12-04,만감류,한라봉,성산항,8.67
2022-12-05,감귤류,노지온주,제주공항,19.69
2022-12-05,감귤류,노지온주,제주항,"1,300.63"
2022-12-05,감귤류,노지온주,서귀포항,0
2022-12-05,감귤류,노지온주,한림항,11.2
2022-12-05,감귤류,노지온주,애월항,0
2022-12-05,감귤류,노지온주,성산항,391.73
2022-12-05,만감류,레드향,제주공항,0
2022-12-05,만감류,레드향,제주항,1.68
2022-12-05,만감류,레드향,서귀포항,0
2022-12-05,만감류,레드향,한림항,0.48
2022-12-05,만감류,레드향,애월항,0
2022-12-05,만감류,레드향,성산항,2.15
2022-12-05,만감류,한라봉,제주공항,0.15
2022-12-05,만감류,한라봉,제주항,9.7
2022-12-05,만감류,한라봉,서귀포항,0
2022-12-05,만감류,한라봉,한림항,0.3
2022-12-05,만감류,한라봉,애월항,0
2022-12-05,만감류,한라봉,성산항,18.13
2022-12-06,감귤류,노지온주,제주공항,23.46
2022-12-06,감귤류,노지온주,제주항,"1,664.53"
2022-12-06,감귤류,노지온주,서귀포항,0
2022-12-06,감귤류,노지온주,한림항,32.22
2022-12-06,감귤류,노지온주,애월항,0
2022-12-06,감귤류,노지온주,성산항,360.55
2022-12-06,만감류,레드향,제주공항,0.5
2022-12-06,만감류,레드향,제주항,9.08
2022-12-06,만감류,레드향,서귀포항,0
2022-12-06,만감류,레드향,한림항,0
2022-12-06,만감류,레드향,애월항,0
2022-12-06,만감류,레드향,성산항,4.47
2022-12-06,만감류,천혜향,제주공항,0
2022-12-06,만감류,천혜향,제주항,0
2022-12-06,만감류,천혜향,서귀포항,0
2022-12-06,만감류,천혜향,한림항,0
2022-12-06,만감류,천혜향,애월항,0
2022-12-06,만감류,천혜향,성산항,3.57
2022-12-06,만감류,한라봉,제주공항,0.47
2022-12-06,만감류,한라봉,제주항,9.89
2022-12-06,만감류,한라봉,서귀포항,0
2022-12-06,만감류,한라봉,한림항,0
2022-12-06,만감류,한라봉,애월항,0
2022-12-06,만감류,한라봉,성산항,7.84
2022-12-07,감귤류,노지온주,제주공항,8.45
2022-12-07,감귤류,노지온주,제주항,"1,189.00"
2022-12-07,감귤류,노지온주,서귀포항,0
2022-12-07,감귤류,노지온주,한림항,29.37
2022-12-07,감귤류,노지온주,애월항,0
2022-12-07,감귤류,노지온주,성산항,401.96
2022-12-07,만감류,레드향,제주공항,0.01
2022-12-07,만감류,레드향,제주항,1.78
2022-12-07,만감류,레드향,서귀포항,0
2022-12-07,만감류,레드향,한림항,0
2022-12-07,만감류,레드향,애월항,0
2022-12-07,만감류,레드향,성산항,5.59
2022-12-07,만감류,천혜향,제주공항,0
2022-12-07,만감류,천혜향,제주항,0
2022-12-07,만감류,천혜향,서귀포항,0
2022-12-07,만감류,천혜향,한림항,0
2022-12-07,만감류,천혜향,애월항,0
2022-12-07,만감류,천혜향,성산항,0.26
2022-12-07,만감류,한라봉,제주공항,0.2
2022-12-07,만감류,한라봉,제주항,10.18
2022-12-07,만감류,한라봉,서귀포항,0
2022-12-07,만감류,한라봉,한림항,0.66
2022-12-07,만감류,한라봉,애월항,0
2022-12-07,만감류,한라봉,성산항,10.08
2022-12-08,감귤류,노지온주,제주공항,19.55
2022-12-08,감귤류,노지온주,제주항,"1,816.43"
2022-12-08,감귤류,노지온주,서귀포항,0
2022-12-08,감귤류,노지온주,한림항,41.13
2022-12-08,감귤류,노지온주,애월항,0
2022-12-08,감귤류,노지온주,성산항,371.4
2022-12-08,만감류,레드향,제주공항,0.09
2022-12-08,만감류,레드향,제주항,2.27
2022-12-08,만감류,레드향,서귀포항,0
2022-12-08,만감류,레드향,한림항,0
2022-12-08,만감류,레드향,애월항,0
2022-12-08,만감류,레드향,성산항,8.81
2022-12-08,만감류,천혜향,제주공항,0
2022-12-08,만감류,천혜향,제주항,0
2022-12-08,만감류,천혜향,서귀포항,0
2022-12-08,만감류,천혜향,한림항,0
2022-12-08,만감류,천혜향,애월항,0
2022-12-08,만감류,천혜향,성산항,4.71
2022-12-08,만감류,한라봉,제주공항,0.67
2022-12-08,만감류,한라봉,제주항,7.81
2022-12-08,만감류,한라봉,서귀포항,0
2022-12-08,만감류,한라봉,한림항,0.98
2022-12-08,만감류,한라봉,애월항,0
2022-12-08,만감류,한라봉,성산항,5.16
2022-12-09,감귤류,노지온주,제주공항,9.5
2022-12-09,감귤류,노지온주,제주항,833.93
2022-12-09,감귤류,노지온주,서귀포항,0
2022-12-09,감귤류,노지온주,한림항,0
2022-12-09,감귤류,노지온주,애월항,0
